,news,class
0,Donald Trump is an “affirmative action advocate.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-false/df2fdc0878a20d18f0ed2f059e16b858.jpg
1,"Video suggests COVID-19 vaccines are responsible for breast cancer deaths in women under age 45 rising from 26,000 in 2021 to 297,000 in 2023.",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
2,"NASA warns of “internet apocalypse,” which “means they can execute the Great Reset in silence without anyone knowing it.”",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
3,Kevin McCarthy “announces impeachment proceeding for Biden regime.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
4,“Young Americans across this country are no longer proud to be American.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-half-true/d9a6e4b659c23ea9eef274cd112ee21a.jpg
5,“Biden administration quietly DROPS all charges against Sam Bankman-Fried.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
6,NASA faked footage of astronauts on the International Space Station.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
7,"In 2020 the ballots that were counted ""were fake ballots.""",https://static.politifact.com/CACHE/images/politifact/rulings/tom_ruling_pof/036808fdf668e8a65d50468337465de4.jpg
8,"""We have plans to build a railroad from the Pacific all the way across the Indian Ocean.""",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
9,Titan submersible passenger Shahzada Dawood is the World Economic Forum’s vice chairman.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
10,Video shows former President Donald Trump saying an impostor is pretending to be President Joe Biden.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
11,"Greta Thunberg said the world would end on June 21, 2023.",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
12,“New California bill charges parents with child abuse for refusing to ‘affirm’ their kid’s gender identity.”,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
13,Videos and photos of military vehicles are proof of “war prep” and looming military action within the U.S.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
14,"Recent wildfires put more carbon in the atmosphere than ""the human race has put out in the last 100 years.""",https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
15,“Ringing in your ears can cause total shutdown in under two years” but a pill can make tinnitus disappear.,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/04958a804a1afafead217d7389997f18.jpg
16,"A printer error in Nassau County, New York, turned every registered voter Democratic.",https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-false/df2fdc0878a20d18f0ed2f059e16b858.jpg
