,title,news,class,review
0,Magnetic poles reversals are not cataclysmic events as claimed in the ‘Adam and Eve’ theory discussed on Joe Rogan podcast,"
Magnetic poles reversals involve the Earth flipping vertically and momentarily stopping its rotation, causing cataclysmic events during 6 days. ",https://climatefeedback.org/wp-content/uploads/tags/HTag_Incorrect.png," CLAIM: Shifts in the planet’s magnetic poles involve the earth doing a 90° flip, with the planet remaining still for 6 days. During this short period, cataclysmic events happen, involving heat, wind, floods, and climate change. "
1,Temperatures on Earth are increasing and the rise is drastically outpacing previous natural changes in the planet’s climate,"
“We have been cooling down for the past 4000 years”; the Earth has cooled since the ‘medieval warming’, “It’s all about when you start the measurements” ",https://climatefeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png," CLAIM: “We have been cooling down for the past 4000 years”; the Earth has cooled since the ‘medieval warming’, “It’s all about when you start the measurements” "
2,"The Antarctic’s ice coverage is not increasing to record levels, nor is the continent getting colder, contrary to Curry and Easterbrook claims in CFACT movie","
Antarctic sea-ice extent is increasing to record levels. Antarctica is getting colder; its sea ice and ice cap are not melting ",https://climatefeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png," CLAIM: We’re seeing record set for antarctic sea ice extent. Climate models predict that antarctic should be losing sea ice, and it’s exactly the opposite of what’s happening. The antarctic ice cap is not melting, the average annual temperature there is 58 degrees below 0°. There’s not melting going on in the first place, it’s actually growing. The sea ice is at record high because it’s getting colder "
3,"The strands of cloud seen behind aeroplanes are trails of condensed water known as contrails, they are not chemtrails as some believe","
Chemtrails contain toxic substances such as barium salts that are 10 thousand times more toxic to your nervous system than lead ",https://climatefeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png, CLAIM: Chemtrails contain toxic substances such as barium salts that are 10 thousand times more toxic to your nervous system than lead 
4,"Pre-human changes in climate do not negate contemporary human influence on modern warming, contrary to implication in popular Instagram post","
Climate changed naturally in prehistoric eras, modern climate change is a naturally occurring phenomenon ",https://climatefeedback.org/wp-content/uploads/tags/HTag_Flawed_Reasoning.png, CLAIM: “Climate change is a naturally occurring phenomenon that can be tracked throughout prehistoric eras…Yes the planet is changing but that’s a constant part of life on this earth.” 
5,"Link between CO2 and Earth’s temperature is well-established, despite claims on Fox News","
Scientists have found no consistent correlation between CO2 and temperature; scientists do not know whether earth will warm or cool in future ",https://climatefeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png," CLAIM: Scientists have found “No consistent correlation between carbon dioxide and earth’s temperature”; “It’s all based on models that don’t work”; “we don’t even know whether it’s going to warm or cool in the future”; various scientists show “we’re headed into a grand solar minimum around 2060, and that we’ll see gradual cooling over the next few decades” "
6,"Scientists have found that modern climate change is caused entirely by human activity, contrary to recent speculation by Joe Rogan","
“The question is, ‘how much of an impact do we have on [climate]?’ That has not totally been quantified”; climate change is happening anyway, “The ice age happened without us…It’s probably this constant cycle”. ",https://climatefeedback.org/wp-content/uploads/tags/HTag_Flawed_Reasoning.png," CLAIM: “Temperature has always been up and down.”; “The question is, ‘how much of an impact do we have on [climate]?’ That has not totally been quantified. They’re not exactly sure. They know it’s a significant impact, but [climate change] is happening anyway [without human influence]…The ice age happened without us…It’s probably this constant cycle”. "
7,The Epoch Times prints a range of inaccurate and misleading claims about climate change’s impacts and causes,"
CO2 is not the cause of our current warming trend; Arctic sea ice has expanded in recent years; Polar bears’ population is growing and is not threatened by climate change; CO2 is good for plant life ",https://climatefeedback.org/wp-content/uploads/tags/HTag_Incorrect.png," CLAIM: ”If carbon dioxide was the main cause of warming, then there should be a rise in temperature along the carbon dioxide curve, but it doesn’t“; “They say the polar bear will go extinct in 2100... In fact, this past winter in the Arctic saw an expansion of ice from previous years, and Antarctica was colder during the last winter than in the past 50 years“; “We do not know the cause of these periodic fluctuations in temperature, but it was certainly not CO2; A study in 2013 found that increased levels of carbon dioxide (CO2) have helped boost green foliage across the world’s arid regions over the past 30 years.“ "
8,"Scientific evidence indicates that modern warming is driven by CO2, contrary to Richard Lindzen’s claim","
“Believing CO2 controls the climate is pretty close to believing in magic.” ",https://climatefeedback.org/wp-content/uploads/tags/HTag_Incorrect.png," CLAIM: “...What is the likelihood of the climate (which, itself, consists of many variables and not just globally averaged temperature anomaly) is controlled by this 2% perturbation in a single variable?”; “Believing CO2 controls the climate is pretty close to believing in magic.” "
9,Letter stating there is “no climate emergency” repeats inaccurate claims about climate science,"
“Natural variation explains a substantial part of global warming observed since 1850;” no statistical evidence that global warming is intensifying natural disasters, or making them more frequent. ",https://climatefeedback.org/wp-content/uploads/tags/HTag_Incorrect.png," CLAIM: “The political fiction that humans cause most or all climate change and the claim that the science behind this notion is ‘settled’, has been dealt a savage blow by the publication of a ‘World Climate Declaration (WCD)’ signed by over 1,100 scientists and professionals.” “Natural variation explains a substantial part of global warming observed since 1850;” “There is no statistical evidence that global warming is intensifying hurricanes, floods, droughts and such-like natural disasters, or making them more frequent.” "
10,"Carbon dioxide emissions by humans are the major driver of modern climate change, contrary to Jerome Corsi’s claims in CBN News video","
Carbon dioxide is not a climate heat driver; we had an ice age when the Earth had extraordinarily larger amounts of carbon dioxide; in the 1970s scientists thought we were going to have a new ice age. ",https://climatefeedback.org/wp-content/uploads/tags/HTag_Incorrect.png," CLAIM: “[Carbon dioxide] is about 0.0003 or 0.0004% of the atmosphere…it is not a climate heat driver…when the Earth had extraordinarily larger amounts of carbon dioxide in the atmosphere, we had an ice age and there were no human beings here…They [climate scientists] thought in the 1970s we were going to have a new ice age.” "
11,"The sun isn’t responsible for current climate change, contrary to claims in Suspicious0bservers YouTube video","
Scientists have neglected the effect of solar particles, cosmic rays, the interplanetary magnetic field and Earth's weakening magnetic field to conclude climate change is due to human activity ",https://climatefeedback.org/wp-content/uploads/tags/HTag_Incorrect.png," CLAIM: “They're able to blame us for climate change because they do not properly factor in the sun, how its activity has changed over the centuries…there's not one single paper in existence blaming humans for global warming which accounts for solar particles, cosmic rays, the interplanetary magnetic field and Earth's weakening magnetic field.” "
12,"Warming of Earth’s surface and oceans continues apace, contrary to claims in blog","
”Global warming started to run out of steam over two decades ago… Half of the apparent global temperature increase from January 1910 to January 2000 is due to administrative adjustments.” ",https://climatefeedback.org/wp-content/uploads/tags/HTag_Incorrect.png," CLAIM: ”In a major re-evaluation of data from meteorology balloons rising through the troposphere, the scientists confirmed that temperatures have mostly paused since around 1998. In July 2013, the Met Office published a paper about the [1998 to 2012] pause, although its main argument that the heat had disappeared into the ocean does not seem to have stood the test of time. Professor Humlum looked at the adjustments to the NASA GISS [surface temperature] dataset and found that ‘half of the apparent global temperature increase from January 1910 to January 2000 is due to administrative adjustments to the original data since May 2008.’” "
13,"Earth’s surface continues to warm due to greenhouse gas emissions, contrary to claims by Christopher Monckton in Watts Up With That","
“...Seven and a half years have passed since there was any trend in global warming at all” If global warming was caused by human emissions, temperature would rise at a steady rate ",https://climatefeedback.org/wp-content/uploads/tags/HTag_Incorrect.png," CLAIM: “...Seven and a half years have passed since there was any trend in global warming at all” “[Temperature] has been rising in occasional spurts in response to natural events such as the great Pacific shift of 1976 and the subsequent strong El Niño events, rather than at the somewhat steadier rate that one might expect if our continuing – and continuous – sins of emission were the primary culprit.” "
14,"Robust scientific evidence supports that human activity drives global warming, contrary to claims in a CO2 Coalition blog post by Andy May","
""There is no evidence, other than models, that human CO2 emissions drive climate change and abundant evidence that the Sun, coupled with natural climate cycles, drives most, if not all, of recent climate changes"" ",https://climatefeedback.org/wp-content/uploads/tags/HTag_Incorrect.png," CLAIM: ""There is no evidence, other than models, that human CO2 emissions drive climate change and abundant evidence that the Sun, coupled with natural climate cycles, drives most, if not all, of recent climate changes"" "
15,"More than 75 percent of the Amazon rainforest is losing resilience, as described by the Washington Post","
More than 75 percent of the rainforest is losing resilience; More than half of the rainforest could be converted into savanna in a matter of decades ",https://climatefeedback.org/wp-content/uploads/tags/HTag_Mostly_Accurate.png, CLAIM: Satellite images taken over the past several decades reveal that more than 75 percent of the rainforest is losing resilience...This widespread weakness offers an early warning sign that the Amazon is nearing its “tipping point”; The ecosystem could suffer sudden and irreversible dieback. More than half of the rainforest could be converted into savanna in a matter of decades 
16,"Coral cover in the Great Barrier Reef improved in 2021, but that doesn’t mean the reef is ‘growing quickly,’ contrary to Daily Wire claim","
Study Shows The Great Barrier Reef Is Growing Quickly ",https://climatefeedback.org/wp-content/uploads/tags/HTag_Misleading.png," CLAIM: Despite Climate Change Fearmongering, Study Shows The Great Barrier Reef Is Growing Quickly [...] The Australian government’s most recent official report on reef recovery indicates that coral cover at the Northern Great Barrier Reef “continued to increase to 27% from the most recent low point in 2017.” Meanwhile, the Central Great Barrier Reef saw a 26% increase in hard coral cover. "
17,"Electric cars aren’t seven times more expensive than gasoline-powered cars, as claimed on Facebook","
An electric car “costs more than seven times as much” as a gasoline powered car ",https://climatefeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png," CLAIM: “The gasoline-powered car costs about $25,000 while the Volt costs $46,000 plus. So the Government wants us to pay twice as much for a car that costs more than seven times as much to run, and takes three times longer to drive across the country.” "
